topic_id,search_term,title,summary,keywords,published_date,link,source,sentiment,polarity,scraped_at
5, tokenized equity,Maybank Launches Tokenized On-Chain Money Market Fund with Marketnode and BNP Paribas - Yahoo Finance,"Malaysian multinational bank Maybank and BNP Paribas have teamed up with Singapore based digital market infrastructure firm Marketnode to launch Maybank’s Money Market Fund on-chain, marking a major move toward tokenized investment products.
BNP Paribas will serve as the transfer agent, integrating tokenization seamlessly into existing capital markets infrastructure.
Maybank Embraces Singapore’s Tokenized Future “We are excited to collaborate with Marketnode and BNP Paribas to bring our Maybank Money Market Fund on-chain,” said Ivan Won, Head of Product & Marketing.
BNP Paribas and Institutional Adoption Luc Renard, Head of Southeast Asia, Securities Services at BNP Paribas, highlights the bank’s strategic focus on tokenization.
We are proud to collaborate with Maybank and Marketnode to stay at the forefront of this evolution,” said Renard.","launches, bnp, paribas, marketnode, maybank, market, tokenized, money, fund, on-chain, tokenization, infrastructure, products, digital, markets, singapore’s, funds, gateway, head, singapore, firm, launch, investment, capital, role, institutions, marketnode’s, architecture, project, interoperable, management, assets, asia, future, collaborate",2025-10-30,https://finance.yahoo.com/news/maybank-launches-tokenized-chain-money-121214951.html,yahoo finance,positive,0.8861,2025-10-31 09:43:07
5, tokenized equity,JPMorgan Tokenizes Private Equity Fund As JPM Targets Key $312 Level - JPMorgan Chase (NYSE:JPM) - Benzinga,"JPMorgan Chase & Co. (NYSE:JPM) has tokenized a private-equity fund on its blockchain platform for wealthy clients, marking a key milestone in its push to digitize alternative investments.
Blockchain Move Brings Private Equity To Digital Investors The bank said on Thursday that its new tokenized fund is available to select private-bank clients ahead of next year's full rollout of its Kinexys Fund Flow platform.
The system converts fund ownership into digital tokens recorded on JPMorgan's private blockchain, simplifying transfers and settlement as per WSJ.
According to JPMorgan, Kinexys Fund Flow automates the exchange of cash and fund shares via smart contracts, allowing all parties to view ownership data in real time.
JPMorgan is also exploring the use of fund tokens as collateral or within diversified portfolios of tokenized assets.","jpmorgan, jpm, tokenizes, equity, targets, 312, level, chase, fund, nyse, key, private, blockchain, tokenized, alternative, digital, investors, bank, ownership, tokens, access, tokenization, stock, price, private-equity, platform, clients, investments, kinexys, flow, system, jpmorgan's, simplifying, settlement, expand",2025-10-30,https://www.benzinga.com/crypto/cryptocurrency/25/10/48531524/jpmorgan-tokenizes-private-equity-fund-as-jpm-targets-key-312-level,benzinga,positive,0.7457,2025-10-31 09:44:14
1,private credit,Private Credit Enters the Equity Business as Borrowers Struggle - Bloomberg,"Private credit firms are in the business of lending, not owning.
But as more borrowers start to struggle with their liabilities, lenders are swapping their debt positions for equity stakes to try and stem losses.
There’s been a string of debt-for-equity swaps in recent weeks, including for British auction house Bonhams, telecommunications supplier Netceed, Italian sportswear maker DaineseBloomberg Terminal and French radiology-center specialist OradianseBloomberg Terminal.","enters, private, credit, business, borrowers, struggle, equity, terminal, firms, lending, owning, start, liabilities, lenders, swapping, debt, positions, stakes, stem, losses, there’s, string, debt-for-equity, swaps, recent, weeks, including, british, auction, house, bonhams, telecommunications, supplier, netceed, italian",2025-10-30,https://www.bloomberg.com/news/articles/2025-10-30/private-credit-enters-the-equity-business-as-borrowers-struggle,bloomberg,negative,-0.8385,2025-11-03 09:31:42
1,private credit,General Atlantic Leads $2 Billion Shutterfly Private Credit Deal - Bloomberg,"Private credit lenders led by General Atlantic are in talks to provide about $2 billion of debt to Shutterfly, according to people with knowledge of the matter.
Proceeds would refinance some of the custom photo company’s high-yield bonds and leveraged loans, the people said, asking not to be identified discussing a private transaction.
The company has about $2.5 billion of gross debt — or $2.4 billion of net debt — through the end of September, one of the people added.","leads, deal, billion, private, credit, general, atlantic, shutterfly, debt, lenders, led, talks, provide, knowledge, matter, proceeds, refinance, custom, company’s, high-yield, bonds, leveraged, loans, identified, discussing, transaction, company, gross, net, end, added",2025-10-30,https://www.bloomberg.com/news/articles/2025-10-30/general-atlantic-leads-2-billion-shutterfly-private-credit-deal,bloomberg,negative,-0.7465,2025-11-03 09:32:44
1,private credit,APAC Private Credit to Reach $92 Billion in 2027 on Wealth Boom - Bloomberg,"The Asia Pacific private credit market is projected to grow to $92 billion in 2027 from $59 billion in 2024, representing a 16% compound annual growth rate, according to an industry report released this week.
This growth is driven by strong demand from institutional and wealth investors seeking yield and diversification, according to a joint report from the Alternative Investment Management Association, via its private credit affiliate the Alternative Credit Council, law firm Simmons & Simmons, advisory firm Ernst & Young and financial data provider Broadridge.
There is also accelerating inflows from the wealth segments, driven by new products and digital access, the report said.","apac, reach, boom, credit, private, billion, wealth, 92, 2027, report, growth, driven, alternative, firm, simmons, asia, pacific, market, projected, grow, 59, 2024, representing, 16, compound, annual, rate, industry, released, week, strong, demand, institutional, investors, seeking",2025-10-30,https://www.bloomberg.com/news/articles/2025-10-30/apac-private-credit-to-reach-92-billion-in-2027-on-wealth-boom,bloomberg,positive,0.8633,2025-11-03 09:33:38
1,private credit,APAC Private Credit to Reach $92 Billion in 2027 on Wealth Boom - Bloomberg,"The Asia Pacific private credit market is projected to grow to $92 billion in 2027 from $59 billion in 2024, representing a 16% compound annual growth rate, according to an industry report released this week.
This growth is driven by strong demand from institutional and wealth investors seeking yield and diversification, according to a joint report from the Alternative Investment Management Association, via its private credit affiliate the Alternative Credit Council, law firm Simmons & Simmons, advisory firm Ernst & Young and financial data provider Broadridge.
There is also accelerating inflows from the wealth segments, driven by new products and digital access, the report said.","apac, reach, boom, credit, private, billion, wealth, 92, 2027, report, growth, driven, alternative, firm, simmons, asia, pacific, market, projected, grow, 59, 2024, representing, 16, compound, annual, rate, industry, released, week, strong, demand, institutional, investors, seeking",2025-10-30,https://www.bloomberg.com/news/articles/2025-10-30/apac-private-credit-to-reach-92-billion-in-2027-on-wealth-boom?srnd=homepage-europe,bloomberg,positive,0.8633,2025-11-03 09:34:59
1,private credit,Tobacco Supplier Nabs $675 Million Private Debt Deal from Stifel - Bloomberg,"Stifel Financial Corp. is launching and leading the sale of a $675 million private credit financing package for Tobacco Rag Processors Inc., which supplies tobacco products to manufacturers, according to a person familiar with the matter.
The deal consists of a five-year, $615 million senior secured term loan and a $60 million revolving credit facility, the person said, asking not to be named discussing a private matter.
The financing will help the tobacco product supplier fund two acquisitions and refinance existing debt.","nabs, debt, million, tobacco, private, stifel, 675, deal, supplier, credit, financing, person, matter, corp, launching, leading, sale, package, rag, processors, supplies, products, manufacturers, familiar, consists, five-year, 615, senior, secured, term, loan, 60, revolving, facility, named",2025-10-30,https://www.bloomberg.com/news/articles/2025-10-30/tobacco-supplier-nabs-675-million-private-debt-deal-from-stifel,bloomberg,positive,0.4731,2025-11-03 09:35:43
1,private credit,Blackstone's Nides on Private Credit Opportunities - Bloomberg,"Thomas Nides, Vice Chairman at Blackstone, discusses the investment opportunities in private credit markets.
He speaks with Haslinda Amin from the sidelines of the Barclays Asia Forum in Singapore.
(Source: Bloomberg)","blackstone's, nides, opportunities, private, credit, thomas, vice, chairman, blackstone, discusses, investment, markets, speaks, haslinda, amin, sidelines, barclays, asia, forum, singapore, source, bloomberg",2025-10-30,https://www.bloomberg.com/news/videos/2025-10-30/blackstone-s-nides-on-private-credit-opportunities-video,bloomberg,positive,0.3767,2025-11-03 09:36:12
3, stock tokenization,Why Did VCI Global Shares Jump 88% After Hours? - Benzinga,"VCI Global Ltd (NASDAQ:VCIG) shares surged 87.78% in after-hours trading on Wednesday, closing at $3.38.
Check out the current price of VCIG stock here.
Smart Bridge Appointed Exclusive XVIQ Token Issuer VCI Global said Wednesday it plans to launch the XVIQ token, a digital asset meant to support AI infrastructure, GPU cloud computing, and real-world asset ecosystems.
Stock Performance On October 6, VCI Global released its first-half earnings, revealing $18.7 million in revenue and $57.08 in earnings per share.
VCI Global has a market capitalization of $2.27 million.","vci, global, jump, 88, hours, vcig, shares, nasdaq, stock, smart, bridge, token, company, xviq, launch, asset, ecosystem, issuer, gpu, cloud, real-world, treasury, 2026, overnight, revenue, fees, performance, earnings, million, 99, surged, 87, 78, after-hours, trading",2025-10-30,https://www.benzinga.com/markets/equities/25/10/48518904/why-did-vci-global-shares-jump-88-after-hours,benzinga,positive,0.3747,2025-11-03 09:44:10
1,private credit,AirAsia Plans Up to $600 Million Bond to Replace Private Credit - Bloomberg,"AirAsia Aviation Group plans to raise as much as $600 million, replacing a private credit facility with a lower-interest bearing bond, according to people familiar with the matter.
The Malaysian budget carrier operator is targeting a coupon rate of below 10% for the proposed note, said the people, who requested anonymity discussing private matters.
AirAsia is taking advantage of the improved travel numbers to get cheaper refinancing, they added.","cut, borrowing, cost, airasia, plans, 600, million, bond, private, aviation, group, raise, replacing, credit, facility, lower-interest, bearing, familiar, matter, malaysian, budget, carrier, operator, targeting, coupon, rate, proposed, note, requested, anonymity, discussing, matters, taking, advantage, improved",2025-10-30,https://www.bloomberg.com/news/articles/2025-10-30/airasia-plans-up-to-600-million-bond-to-replace-private-credit,bloomberg,positive,0.0747,2025-11-04 09:36:02
