topic_id,search_term,title,summary,keywords,published_date,link,source,sentiment,polarity,scraped_at
1,private credit,Default Warnings Start to Pile Up in Private Credit Market - Yahoo Finance,"Warnings on defaults are starting to pile up in the $1.7 trillion private credit market, prompting at least some analysts to raise concern about underappreciated risks in one of Wall Street’s favorite money spinners.
While there is no universal definition of what constitutes default in private credit, default rates for the market are currently in the 2% to 3% range.
The adjustment puts the default rate for private credit broadly in line with that observed in the broadly syndicated loan market.
Returns above 8% are still luring investment, although private credit funds are not the cash magnet they once were.
“A major selling point of private credit is the low default rates,” Bukhari wrote in a report this month.","start, private, credit, default, market, warnings, pile, lenders, analysts, losses, cash, month, jpmorgan, report, defaults, trillion, borrowers, companies, billion, debt, including, definition, rates, rate, broadly, asset, inflows, wrote, bukhari, starting, prompting, raise, concern, underappreciated, risks",2025-08-22,https://finance.yahoo.com/news/default-warnings-start-pile-private-000726256.html,yahoo finance,negative,-0.689,2025-08-22 20:53:20
1,private credit,"NEUBERGER LAUNCHES FIRST INTERVAL FUND, PROVIDING PRIVATE CREDIT SOLUTIONS TO INVESTORS - PR Newswire","NEW YORK, Aug. 20, 2025 /PRNewswire/ -- Neuberger Berman, a global, private, employee-owned investment manager, is pleased to announce the launch of NB Asset-Based Credit Fund (Ticker: NABFX) (the ""Fund""), the firm's first interval fund, which offers a private credit solution for individual investors.
About Neuberger Neuberger Berman is an employee-owned, private, independent investment manager founded in 1939 with over 2,800 employees in 26 countries.
In addition, degree of subordination, lack or inadequacy of collateral or credit enhancement for a debt instrument may affect its credit risk.
Additionally, there may be a limited market for the sale of consumer loans, or the collateral of defaulted consumer loans.
The ""Neuberger Berman"" name and logo are registered service marks of Neuberger Berman Group LLC.","launches, interval, providing, solutions, fund, credit, neuberger, investors, private, investment, loans, investments, berman, risk, consumer, interest, market, nb, asset-based, securities, fund's, finance, group, income, including, limited, management, debt, individual, specialty, company, investor, firm, subject, collateral",2025-08-20,https://www.prnewswire.com/news-releases/neuberger-launches-first-interval-fund-providing-private-credit-solutions-to-investors-302534158.html,pr newswire,negative,-0.3098,2025-08-23 09:23:59
3, stock tokenization,Shineco Shares Surge On Launch Of Blockchain-Based Cell Asset Tokenization Platform - Benzinga,"Shineco Inc. SISI shares are trading higher on Wednesday after the company announced the launch of what it calls the world's first on-chain cell asset tokenization platform.
See what is happening to SISI stock here.
What To Know: To support the system, Shineco acquired a 51% stake in Xi'an Dong'ao Health Management, a company specializing in cryogenic cell storage and clinical applications.
This deal, along with its earlier purchase of Singapore-based Infiniclone, gives Shineco the physical infrastructure needed to connect blockchain-based tokens with real-world cell storage and treatment.
SISI Price Action: Shineco shares were up 36.97% at $6.78 at market close on Wednesday, according to Benzinga Pro.","shineco, surge, blockchain-based, nasdaq, cell, sisi, shares, launch, platform, asset, tokenization, company, stock, storage, biotech, market, trading, higher, announced, calls, world's, on-chain, happening, support, system, acquired, 51, stake, xi'an, dong'ao, health, management, specializing, cryogenic, clinical",2025-08-20,https://www.benzinga.com/trading-ideas/movers/25/08/47246440/shineco-shares-surge-on-launch-of-blockchain-based-cell-asset-tokenization-platform,benzinga,positive,0.8271,2025-08-23 09:35:00
6, non-bank lending,Bad Credit Business Loans Surge in 2025 as ROK Financial Expands Alternative Financing Programs Nationwide - GlobeNewswire,"Best Bad Credit Business Loan Options Surge in 2025 as ROK Financial Expands Nationwide Alternative Financing Programs Across the country in 2025, more small business owners are searching for the best bad credit business loan to help manage cash flow and growth.
This shift has created a sharp rise in online searches for the best bad credit business loan programs.
For entrepreneurs searching for the best bad credit business loan, these case studies illustrate the growing importance of lenders that look beyond a single credit score.
Who Might Gravitate Toward Best Bad Credit Business Loans in 2025 The search for the best bad credit business loan in 2025 is not limited to one type of entrepreneur.
Bad Credit Business Loans are not intended to diagnose, treat, predict, or guarantee any result or outcome.","surge, expands, nationwide, credit, business, financing, rok, bad, alternative, programs, loans, 2025, loan, owners, businesses, lending, small, equipment, lenders, traditional, funding, entrepreneurs, options, solutions, companies, access, flexible, capital, challenges, market, broader, ability, revenue, repayment, growth",2025-08-16,https://www.globenewswire.com/news-release/2025/08/16/3134542/0/en/Bad-Credit-Business-Loans-Surge-in-2025-as-ROK-Financial-Expands-Alternative-Financing-Programs-Nationwide.html,globenewswire,positive,0.9785,2025-08-23 09:42:24
6, non-bank lending,Best No Credit Check Business Financing Demand Rises as ROK - GlobeNewswire,"Best No Credit Check Business Financing Demand Rises as ROK Financial Expands Access to Small Business Loans in 2025 Small business owners in 2025 face growing challenges securing traditional credit, driving demand for the best no credit check business financing options available today.
Section 1: Why Interest in Best No Credit Check Business Financing Is Surging in 2025 The conversation around business financing in 2025 is being shaped by several undeniable pressures.
In this environment, the best no credit check business financing options are drawing record levels of attention.
Queries for “business loan with no credit check,” “fast small business funding,” and “alternative business financing” have grown steadily in recent months.
Section 2: No Credit Check Business Financing as a Response to This Shift The rise in demand for the best no credit check business financing has forced providers to rethink how they structure lending opportunities.","business, demand, rises, expands, access, financing, credit, rok, loans, check, small, 2025, owners, funding, lending, businesses, entrepreneurs, traditional, programs, capital, credit-independent, terms, options, alternative, equipment, multiple, 000, days, flexible, banks, sba, million, shift, platform, growth",2025-08-16,https://www.globenewswire.com/news-release/2025/08/16/3134551/0/en/Best-No-Credit-Check-Business-Financing-Demand-Rises-as-ROK-Financial-Expands-Access-to-Small-Business-Loans-in-2025.html,globenewswire,positive,0.8878,2025-08-23 09:42:50
1,private credit,Credit Fuels the AI Boom — and Fears of a Bubble - Yahoo Finance,"Credit investors are pouring billions of dollars into artificial intelligence investments, just as industry executives and analysts are raising questions about whether the new technology is inflating another bubble.
OpenAI alone estimates it will need trillions of dollars over time to spend on the infrastructure required to develop and run artificial intelligence services.
At the same time, key players in the industry acknowledge there is probably pain ahead for AI investors.
OpenAI Chief Executive Officer Sam Altman said this week that he sees parallels between the current investment frenzy in artificial intelligence and the dot-com bubble in the late 1990s.
Recently, though, the money has been increasingly coming from bond investors and private credit lenders.","fuels, boom, fears, ai, credit, bubble, investors, intelligence, artificial, bloomberg, investment, infrastructure, companies, dollars, industry, questions, technology, housing, billion, data, massive, week, meta, platforms, coming, openai, corporate, it’s, early, s, tech, debt, pouring, billions, investments",2025-08-23,https://finance.yahoo.com/news/credit-fuels-ai-boom-fears-153316716.html,yahoo finance,positive,0.8111,2025-08-24 09:25:03
5, tokenized equity,Tokenized Equities In The Crosshairs Of Global Stock Exchanges: What Happened? - Coinbase Global (NASDAQ:COIN) - Benzinga,"The World Federation of Exchanges (WFE), which represents leading global stock exchanges and clearing houses, has urged regulators to tighten oversight of tokenized equities, warning that the blockchain-based products could mislead investors and undermine market integrity.
Tokenized equities are digital tokens issued on blockchains that represent exposure to a company's stock but do not grant actual ownership or voting rights.
Despite claims of cheaper transactions, faster settlement, and 24/7 accessibility, the WFE said the products risk confusing investors.
A U.S. SEC commissioner stated in July that tokenized securities must comply with existing rules.
Coinbase COIN is also seeking approval from the SEC to roll out tokenized equities in the U.S., Reuters previously reported.","global, crosshairs, happened, coinbase, nasdaq, coin, tokenized, equities, exchanges, stock, wfe, securities, products, shares, tokens, s, sec, federation, regulators, investors, task, force, esma, iosco, marketed, traditional, rights, trading, ownership, offering, stocks, declined, firms, read, comment",2025-08-25,https://www.benzinga.com/crypto/cryptocurrency/25/08/47316344/tokenized-equities-in-the-crosshairs-of-global-stock-exchanges-what-happened,benzinga,negative,-0.3674,2025-08-26 09:45:40
1,private credit,Jamie Dimon of JPMorgan Raises Alarm Over $2 Trillion Industry's Influence on Wall Street - Investopedia,"In July 2025, Dimon described private credit as potentially “dangerous,” drawing parallels to the loose lending that preceded the 2008 financial crisis.
How Investors Should Navigate the Private Credit Minefield Unlike traditional banks, private credit funds operate largely outside the rigorous oversight that governs deposit-taking institutions.
Consider strengthening cash flows, limiting nonessential expenditures, and securing backup credit facilities if concerns about a private credit market squeeze increase.
The Bottom Line The private credit industry's explosive growth to $2 trillion represents both opportunity and significant risk.
Jamie Dimon's warnings suggest that private credit could face a reckoning, and the question is whether the broader economy is prepared for the fallout.","raises, alarm, industry's, influence, street, dimon, jamie, wall, jpmorgan, trillion, private, credit, growth, investors, banks, market, ceo, crisis, loans, 2025, hall, returns, lending, traditional, managers, bond, markets, loose, financing, means, businesses, oversight, equity, firms, risky",2025-08-26,https://www.investopedia.com/why-private-credit-has-jamie-dimon-scared-11779250,investopedia,positive,0.8332,2025-08-27 09:27:32
1,private credit,BlackRock's $1B Asia Credit Fund Hits Pause Amid HPS Deal and Rising Market Risks - Yahoo Finance,"BlackRock Inc. (NYSE:BLK) has hit pause on fundraising for its third Asia-Pacific private credit fund after announcing the acquisition of HPS Investment Partners in December, with the deal officially closing on July 1.
The $1 billion fund, launched in late 2023, had secured less than half of its target before the pause as internal discussions with HPS executives continue on how to align strategy going forward.
The pause comes against a more challenging backdrop for the $1.7 trillion global private credit market.
That puts private credit defaults broadly in line with the syndicated loan market and has raised concerns among some investors about potential risks that may not yet be fully priced in.
The firm recently ended its private credit partnership with Abu Dhabi's Mubadala Investment Co. after facing difficulties sourcing deals, underscoring ongoing headwinds in the region.","1b, asia, hits, amid, rising, credit, hps, pause, fund, blackrock's, deal, market, risks, private, blk, fundraising, billion, investors, gurufocus, asia-pacific, acquisition, investment, internal, strategy, talks, warning, article, appeared, blackrock, nyse, hit, announcing, partners, officially, closing",2025-08-25,https://finance.yahoo.com/news/blackrocks-1b-asia-credit-fund-153616860.html,yahoo finance,negative,-0.3777,2025-08-27 09:27:45
1,private credit,MetLife Investment Management Names Geert Henckens Global Head of Private Fixed Income - Morningstar,"MetLife Investment Management (MIM), the institutional asset management business of MetLife, Inc. (NYSE: MET), today announced that it has named Geert Henckens global head of Private Fixed Income.
MIM has a longstanding track record of originating and managing private assets and originated $21.6 billion in private fixed income transactions in 2024.
MIM’s total private fixed income assets under management stood at $154.8 billion as of June 30, 2025.1 “As a premier originator of private assets, MIM’s private fixed income platform is a key differentiator in capturing current and emerging trends, such as the rise of non-bank lending,” said Brian Funk, president of MIM.
“Our private fixed income platform is well positioned with deep capabilities in originating and managing private assets for our clients, from traditional high-grade private debt, including corporate and infrastructure debt, to private asset-based finance, residential credit and private equity and middle market direct lending.” About MetLife Investment Management MetLife Investment Management, the institutional asset management business of MetLife, Inc. (NYSE: MET), provides tailored investment management solutions to institutional investors worldwide.
MetLife Investment Management has over 150 years of investment experience and, as of June 30, 2025, had $624.3 billion in total assets under management.","names, private, metlife, management, investment, fixed, income, henckens, global, geert, head, assets, mim, institutional, asset, 2025, nyse, met, release, https, clients, billion, mim’s, total, 30, lending, positions, market, including, equity, middle, solutions, insurance, statements, business",2025-08-21,https://www.morningstar.com/news/business-wire/20250821742408/metlife-investment-management-names-geert-henckens-global-head-of-private-fixed-income,morningstar,positive,0.6218,2025-08-27 09:30:53
